"","Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore","MinTempFromSeries","MeanTempFromSeries","MaxTempFromSeries","MinDepthFromSeries","MaxDepthFromSeries","MeanDepthFromSeries","MinTemp","MaxTemp","MinDepth","MaxDepth","MeanTempPDT","MeanDepthPDT","DistTravelled","date","rs_gsla","rs_vcur","rs_ucur","rs_current_velocity","rs_current_bearing","rs_sst_interpolated","degree_angle","radius"
"1",2022-03-25,227151,-33.97402,151.3569,1,"Mar",0,-86.8775024414062,17.8859167799463,8.79069968631526,15.4,18.5895833333333,19.8,18,91.5,54.2118055555556,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0.0810278790838204,-0.0585964323318023,-0.00671417453801901,0.0589798441990352,6.53663364879707,23.8100000000001,83.4633663512029,1.45671054762674
"2",2022-03-26,227151,-34.4375,151.2125,2,"Mar",53.2198948208169,-150.369995117188,4.58961537271104,27.1690061257545,16.6,19.4777777777778,22.6,29,78.5,48.2777777777778,NA,NA,NA,NA,19.58,24.4090909090909,53.1065033736053,2022-03-26,0.0872842689942472,-0.0247203698899791,-0.0383013138418812,0.0455860431438359,57.1610606441407,23.7900000000001,32.8389393558593,0.573147614622491
"3",2022-03-27,227151,-34.6625,151.25,3,"Mar",78.4733749354648,-581.502502441406,7.84365120492603,33.8663611580848,17.9,20.1791666666667,23.2,28.5,67,45.6527777777778,NA,NA,NA,NA,NA,NA,25.1959835672954,2022-03-27,0.0853005356080143,0.0082401232966597,-0.0108342361863489,0.0136117708504715,127.255289453577,23.9200000000001,322.744710546423,5.63295784243115
"4",2022-03-28,227151,-34.825,151.2875,4,"Mar",96.864544084163,-1247.37744140625,15.7147724152279,41.6023496660452,17.2,19.7520833333333,22.4,34.5,67.5,46.5833333333333,16.3,23,28,85,NA,NA,18.3512300945376,2022-03-28,0.0614957349732196,0.00625638991042681,0.0412006164832985,0.0416729314221491,261.365494182009,23.83,188.634505817991,3.29229320939634
"5",2022-03-29,227151,-34.95,151.13125,5,"Mar",116.771875903256,-341.244995117188,3.3945668869354,27.1531403618511,16.2,19.8506944444444,24.3,31,67,47.1319444444444,16.1,24.5,13,86,20.5166666666667,25.2692307692308,19.9076369716191,2022-03-29,0.0282300520348527,0.0320449239314544,0.100254833442693,0.105251645015148,252.274316205072,23.6700000000001,197.725683794928,3.45096419797868
"6",2022-03-30,227151,-35.0875,151.2625,6,"Mar",136.178539338798,-1743.18249511719,19.2013640688397,38.4002651520506,16.7,20.6826388888889,23.7,36,75.5,50.0173611111111,16.1,23.9,31,79,20.4,24.9444444444444,19.3955761689059,2022-03-30,0.0100712618070285,0.0865212946149268,0.125127798208536,0.152127907717023,235.337559909075,23.5600000000001,214.662440090925,3.74656635995172
"7",2022-03-31,227151,-35.1875,151.38125,7,"Mar",151.678352435511,-3208.1875,33.036567322633,51.0847623524638,18.3,22.45,23.6,42.5,83,53.3333333333333,17.5,23.7,29,84,21.44,28.0454545454545,15.4985772209098,2022-03-31,-0.0677521248836464,-0.051271878290327,0.0456258678833565,0.0686332668866025,318.334723713474,23.58,131.665276286526,2.29799258174789
"8",2022-04-01,227151,-35.28125,151.45625,8,"Apr",164.131110882819,-4738.6826171875,43.56864785434,61.0191932629577,19.8,21.0666666666667,23.1,46,84,64.6041666666667,17.5,23.3,41,86,21.825,28.5,12.4414972959748,2022-04-01,-0.0950666076633147,-0.0706514275250637,0.0303663802969496,0.0769008534651489,336.741695303165,23.6200000000001,113.258304696835,1.97673032218674
"9",2022-04-02,227151,-35.3375,151.525,9,"Apr",172.965058751905,-4844.81005859375,52.1008258079642,69.2515325348777,Inf,NA,-Inf,55.5,72,63.9010416666667,21.8,22.6,38,83,NA,NA,8.83394111144943,2022-04-02,-0.0877420536218394,-0.174263348236766,-0.0915569255184411,0.1968511751275,27.7171688272458,22.6900000000001,62.2828311727541,1.08704047142832
"10",2022-04-03,227151,-35.3875,151.5875,10,"Apr",180.904295565504,-4863.56005859375,59.6110097867356,76.7685198656903,22.1,22.540625,22.9,49,70,59.0833333333333,20.8,22.8,48,85,22.1,31.1666666666667,7.93966453597503,2022-04-03,-0.166633604443563,-0.141150260174263,-0.218363267361482,0.260011369905326,57.1213274905097,22.83,32.8786725094903,0.573841088975553
"11",2022-04-04,227151,-35.44375,151.6375,11,"Apr",188.627743031714,-4869.875,66.4182320874804,83.6922741915476,19,22.3763888888889,22.7,52,82.5,60.2083333333333,17.4,22.7,46,86,21.475,31.1666666666667,7.71820003713408,2022-04-04,-0.155494178505486,-0.0953717974150428,-0.21302244670624,0.23339739189393,65.8815683037363,22.5300000000001,24.1184316962637,0.420946043517162
"12",2022-04-05,227151,-35.5,151.75,12,"Apr",200.582254739233,-4865.8701171875,78.3599943889238,95.6487101573144,22.2,22.4791666666667,22.6,53.5,68,59.8958333333333,19.8,22.6,48,81,21.6,28.0714285714286,11.9668441582834,2022-04-05,-0.10651122335312,-0.372636686860055,-0.429707170433217,0.56877618859773,49.0685796768454,22.9200000000001,40.9314203231546,0.714388052156769
"13",2022-04-06,227151,-35.55,151.825,13,"Apr",209.355977427838,-4864.31005859375,86.9864641905055,104.303016530686,18.7,21.5333333333333,22.2,52.5,100.5,62.5364583333333,17.8,23.4,50,104,NA,NA,8.77782268909902,2022-04-06,-0.1155143210291,-0.383928707673996,-0.420246288129645,0.569217177589511,47.5857943424245,23.22,42.4142056575755,0.740267538342699
"14",2022-04-07,227151,-35.61875,151.75625,14,"Apr",219.209546602136,-4867.6826171875,84.9743861785776,103.176875767116,Inf,NA,-Inf,53,90,61.1770833333333,15.9,22.2,48,101,NA,NA,9.84945150616765,2022-04-07,-0.117803244167061,-0.533166496269055,-0.409259457067432,0.672130802703573,37.5099019842405,23.1600000000001,52.4900980157595,0.916125035069545
"15",2022-04-08,227151,-35.7125,151.45625,15,"Apr",248.246823132977,-4852.9375,67.3853545934477,87.287288441995,16.6,21.140625,21.9,53.5,97.5,62.6666666666667,16.2,21.9,52,98,19.275,34.7222222222222,29.086360036669,2022-04-08,-0.165718035188378,-0.339523598797552,-0.150153357850243,0.371244265968034,23.857275858894,22.6600000000001,66.142724141106,1.15440831250064
"16",2022-04-09,227151,-35.81875,150.99375,16,"Apr",291.616155044439,-3347.8076171875,36.3987689343913,61.7368682321018,16.7,20.7625,22.2,49.5,63,56.8541666666667,16.3,22.4,47,92,19.35,32.0555555555556,43.4534249242637,2022-04-09,-0.118566218546381,0.213480231333832,0.0965925564219554,0.234315878946509,204.345137106249,23.1700000000001,245.654862893751,4.28748618103119
"17",2022-04-10,227151,-35.86875,150.75625,17,"Apr",313.733748596973,-3237.0625,19.522185779061,45.5037215079743,15.5,19.9708333333333,22.2,53,90,62.0208333333333,15.5,22.6,47,92,19.25,32.0555555555556,22.1616650870412,2022-04-10,-0.0497459295316863,0.345779988707979,0.0856057253597424,0.356219231380421,193.905281914251,22.71,256.094718085749,4.46969602756299
"18",2022-04-11,227151,-35.8125,151.10625,18,"Apr",345.896778253963,-5029.31005859375,45.3050210119652,70.6426140134881,15.6,19.9708333333333,22.3,Inf,-Inf,NA,14.9,22.6,37,98,18.02,31.6818181818182,32.2307103337378,2022-04-11,-0.184944989547251,-0.0706514275250637,0.0421161857384829,0.0822520353090896,329.200309839611,22.5400000000001,120.799690160389,2.10835232868778
"19",2022-04-12,227151,-35.75,151.33125,19,"Apr",367.350285897822,-4861.81494140625,59.7822210794552,82.4838699462293,15.6,20.1798611111111,22.6,38.5,76.5,57.4513888888889,15.6,22.7,38,77,19.3,27.6111111111111,21.4922149434465,2022-04-12,-0.196084415485328,-0.435505775716051,-0.0425739703660751,0.437581790794328,5.58335333526109,22.3500000000001,84.4166466647389,1.47334842779238
"20",2022-04-13,227151,-35.6875,151.4125,20,"Apr",377.454838187158,-4864.87744140625,62.5517390581178,82.4992913992004,17.3,20.2625,22.4,34.5,72.5,59.0451388888889,NA,NA,NA,NA,20.65,24.0555555555556,10.1062684718286,2022-04-13,-0.16464987105733,-0.326553034349107,0.132604947125876,0.352449934380566,337.899170046874,22.8000000000001,112.100829953126,1.95652857690032
"21",2022-04-14,227151,-35.6583333333333,151.433333333333,21,"Apr",381.204467848814,-4866.62744140625,62.2777375978643,81.7404747475546,17.8,20.2625,21.3,56.5,69,61.5833333333333,NA,NA,NA,NA,19.6333333333333,24.6428571428571,3.7456683770085,2022-04-14,-0.154273419498573,-0.336624296156135,0.175178917491951,0.37947802294239,332.507580145452,23.33,117.492419854548,2.05062957259742
"22",2022-04-15,227151,-35.625,151.466666666667,22,"Apr",385.980594787464,-4869.18994140625,62.7491261086182,81.763204883111,16.9,19.990625,22.3,38,74,52.9791666666667,NA,NA,NA,NA,19.75,24.9444444444444,4.7741571318404,2022-04-15,-0.135046465139701,-0.38820136419819,0.187081317809348,0.43092890206926,334.269734810007,23.84,115.730265189993,2.01987417177155
"23",2022-04-16,227151,-35.6,151.48125,23,"Apr",389.057223134595,-4871.6875,62.4029583575257,81.1909339893023,15.8,17.5229166666667,22.3,43.5,74,61.4270833333333,NA,NA,NA,NA,NA,NA,3.0724175048137,2022-04-16,-0.115666915904964,-0.350663024735629,0.315566203286894,0.471748434627658,318.015542638799,23.3500000000001,131.984457361201,2.30356334241102
"24",2022-04-17,227151,-35.6,151.44375,24,"Apr",392.447698594559,-4872.74755859375,59.5015122813917,78.4368161814912,15.2,15.9729166666667,20.1,35.5,74,65.2534722222222,15.3,21,32,76,17.75,25.8333333333333,3.39813010686811,2022-04-17,-0.0990340744357804,-0.368516625211725,0.345017014328659,0.504818029822332,316.886304949604,23.2,133.113695050396,2.32327225812508
"25",2022-04-18,227151,-35.575,151.39375,25,"Apr",397.755260041703,-4866.0576171875,54.1889558659707,73.1465851816188,15.3,16.596875,19.2,41,74,62.5052083333333,15.3,20.8,37,76,17.65,27.6111111111111,5.31307581577181,2022-04-18,-0.124670013580944,-0.41444768284681,0.402392687653549,0.577656261884294,315.84551429271,23.33,134.15448570729,2.34143748191188
"26",2022-04-19,227151,-35.5625,151.31875,26,"Apr",404.67979033238,-4760.9375,47.7337943266586,66.9493034021064,14.9,16.3666666666667,21,40,76,61.9010416666667,14.9,21.6,38,77,NA,NA,6.93891299838192,2022-04-19,-0.113988372270459,-0.385302061556773,0.412006164832985,0.564098181614056,313.081719674853,22.6600000000001,136.918280325147,2.38967479784238
"27",2022-04-20,227151,-35.55,151.35625,27,"Apr",408.345825312526,-4898.24755859375,49.8355712868097,68.7623593766895,14.9,16.0364583333333,21.1,34.5,76,59.7569444444444,15,21.9,33,77,18.075,24.9444444444444,3.67196184183172,2022-04-20,-0.0930828742770818,-0.544305922207132,0.447713365785177,0.704780955228253,320.561337982576,22.58,129.438662017424,2.25913083158017
"28",2022-04-21,227151,-35.55,151.45,28,"Apr",416.827306104531,-4863.8076171875,57.2272091980518,75.7368899985086,15,16.5465277777778,22.3,38,76.5,62.2118055555556,NA,NA,NA,NA,18.8,24.9444444444444,8.50060580553596,2022-04-21,-0.0563075091938413,-0.481436833351136,0.465414371385409,0.669620759534264,315.969457327598,22.9,134.030542672402,2.33927426786818
"29",2022-04-22,227151,-35.575,151.5875,29,"Apr",429.571744526774,-4825.5576171875,69.328329892915,87.8211448550713,16,17.1833333333333,20.6,47.5,80,65.8402777777778,NA,NA,NA,NA,17.9666666666667,28.0714285714286,12.7704922435016,2022-04-22,0.0309767598004059,-0.838203653121328,0.489982146399524,0.97091084446319,329.691059167158,23.27,120.308940832842,2.09978713712013
"30",2022-04-23,227151,-35.6,151.81875,30,"Apr",450.666901499575,-4864.93994140625,89.0291168787227,106.704538426545,16.4,17.6083333333333,20.8,42,75.5,59.3697916666667,NA,NA,NA,NA,18.425,27.6111111111111,21.1411430575154,2022-04-23,0.175484107243679,-1.10326095249722,0.510582454641173,1.21568053874876,335.165587609847,23.39,114.834412390153,2.00423859080114
"31",2022-04-24,227151,-35.6625,152.23125,31,"Apr",488.589763260646,-4857.375,125.428464211821,142.639804075526,16.3,18.259375,19.6,44.5,76,60.3645833333333,NA,NA,NA,NA,18.125,27.6111111111111,38.0028999230498,2022-04-24,0.658446889353456,-0.567805533090199,0.358292768528833,0.67139915950789,327.747534760573,22.89,122.252465239427,2.13370803710792
"32",2022-04-25,227151,-35.675,152.05,32,"Apr",505.021860236452,-4869.18505859375,111.514123121401,128.902134112971,16.1,17.1708333333333,19.3,44.5,76,59.28125,NA,NA,NA,NA,NA,NA,16.4687376916031,2022-04-25,0.61999298063571,-0.648375627546427,0.34730593746662,0.735535429871186,331.824029348061,22.9400000000001,118.175970651939,2.06255978461653
"33",2022-04-26,227151,-35.625,151.6875,33,"Apr",538.244457059736,-4858.0625,79.9531366596891,98.4427292108136,15.5,16.5833333333333,19,48.5,76.5,67.2673611111111,NA,NA,NA,NA,17.3,28.0714285714286,33.2935729530284,2022-04-26,0.441151786123022,-0.904735018998062,0.292219187279691,0.950756282133243,342.100129694173,23.3100000000001,107.899870305827,1.88320799931154
"34",2022-04-27,227151,-35.65625,151.6125,34,"Apr",545.860828926234,-4848.3125,75.8175596026025,94.5226421400907,15,15.7375,19.4,53.5,81.5,69.75,NA,NA,NA,NA,16.9,31.1666666666667,7.6265556145454,2022-04-27,0.480368669220088,-0.873300474570064,0.239726549982452,0.905606171385105,344.650046055532,23.46,105.349953944468,1.83870356315535
"35",2022-04-28,227151,-35.61875,151.26875,35,"Apr",577.204207062849,-4832.99755859375,47.5663513123829,67.8743613120511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.411748446866,2022-04-28,0.313429875024797,-0.904124639494606,0.0471518166419972,0.905353332988779,357.014620913818,24.07,92.9853790861816,1.62290102126895
"36",2022-04-29,227151,-35.5875,151.175,36,"Apr",586.364702526696,-3646.4326171875,38.5135929571746,59.5993456760466,15.6,17.8611111111111,20.1,42.5,95,63.2638888888889,15.7,21.5,38,97,17.9,31.6818181818182,9.17532996656894,2022-04-29,0.34242290143897,-0.903666854867014,-0.00701936428974715,0.903694116424508,0.445044385668658,24.32,89.5549556143313,1.56302883694746
"37",2022-04-30,227151,-35.55,151.15,37,"Apr",591.108154322079,-3035.3125,34.3961108482795,54.9738637729362,14.5,18.4236111111111,19.6,44.5,106,55.125,14.6,19.7,42,108,NA,NA,4.73785160966714,2022-04-30,0.378740481894618,-0.969587841240291,-0.066836555628462,0.971888731825452,3.94332941277244,24.14,86.0566705872276,1.50197224505128
"38",2022-05-01,227151,-35.49375,151.125,38,"May",597.759504339072,-2836.6826171875,28.8939900611212,48.8440214095642,15.4,18.3097222222222,22.4,43,88,54.046875,15.1,22.6,38,101,17.94,32.4090909090909,6.64014403359487,2022-05-01,0.377824912639434,-1.01811301176506,-0.177925625257504,1.03354324188618,9.91291325258631,23.89,80.0870867474137,1.39778335207269
"39",2022-05-02,227151,-35.425,151.1125,39,"May",605.487533506954,-2589,23.7291621592263,42.805965822457,14.9,16.5583333333333,18.3,44.5,91.5,62.9513888888889,14.7,18.7,42,93,NA,NA,7.7116796438944,2022-05-02,0.38331832817054,-1.00972029359254,-0.160987594036592,1.02247350905845,9.05886717128105,24.02,80.9411328287189,1.41268926815522
"40",2022-05-03,227151,-35.45,151.30625,40,"May",623.259247539614,-3728.25244140625,40.375901985344,58.7971680488722,15.8,16.11875,18.3,51.5,80,67.3125,15.8,19.7,39,85,17.25,28.5,17.8097399884516,2022-05-03,0.506309798116979,-0.93693253780538,-0.194100682099095,0.956826867928449,11.7041797076935,23.5400000000001,78.2958202923065,1.36651985465054
"41",2022-05-04,227151,-35.4875,151.48125,41,"May",639.646752620698,-4871.12744140625,56.1073660635619,74.4668532355637,15.4,16.2131944444444,17.2,46.5,76.5,60.6111111111111,15.5,17.7,42,77,16.425,27.6111111111111,16.4196609077532,2022-05-04,0.518822577937833,-0.881845787618452,-0.264904704500023,0.920774942972848,16.7201624039395,22.7500000000001,73.2798375960605,1.27897444137798
"42",2022-05-05,227151,-35.51875,151.69375,42,"May",659.194005970928,-4864.00244140625,74.9464751938932,92.3082171126626,15.4,16.0611111111111,17.1,52.5,74.5,61.8854166666667,15.6,17.4,50,77,16.2,28.0714285714286,19.5885328968744,2022-05-05,0.652037904567165,-0.65936245860864,-0.226755985534006,0.697264030907897,18.9781896408888,22.58,71.0218103591112,1.23956443149351
